trackerType        | createThreshold    | removeThreshold    | surviveThreshold   | surviveMovePercent | minScorePrediction | maxAge             | mAP                | Elapsed time       | GTmAP              | Memory            
cached medianflow  |           0.200000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.038300 |          10.544408 |           0.040130 |     8262645.000000
cached mil         |           0.000000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.038251 |        1282.963344 |           0.040448 |    15576780.000000
cached kcf         |           0.200000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.038226 |          18.223884 |           0.040047 |     6972753.000000
cached mil         |           0.200000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.038071 |         399.110290 |           0.039986 |    10632001.000000
cached medianflow  |           0.200000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.038007 |          23.760052 |           0.039681 |     9377373.000000
cached medianflow  |           0.200000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.037871 |          46.801521 |           0.039701 |     7987249.000000
cached fake        |           0.200000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.037703 |           3.405535 |           0.039521 |    10471949.000000
cached fake        |           0.200000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.037616 |           2.983685 |           0.039431 |     9488589.000000
cached mosse       |           0.200000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.037164 |           1.733900 |           0.038736 |     7034933.000000
cached fake        |           0.200000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.037012 |           3.998945 |           0.038701 |    11753441.000000
cached mosse       |           0.200000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.036795 |           2.015195 |           0.038281 |     7265541.000000
cached fake        |           0.000000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.036784 |           6.201645 |           0.038658 |    17366404.000000
cached csrt        |           0.400000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.036747 |          22.697810 |           0.038275 |     7468923.000000
cached mosse       |           0.200000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.036593 |           1.640300 |           0.038139 |     6901397.000000
cached csrt        |           0.400000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.036539 |          32.414273 |           0.038073 |     7626747.000000
cached fake        |           0.200000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.036344 |           2.468152 |           0.038085 |     8989377.000000
cached csrt        |           0.400000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.036338 |          60.110916 |           0.037813 |     8005435.000000
cached mosse       |           0.200000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.035869 |           2.577521 |           0.037370 |     6863761.000000
cached kcf         |           0.400000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.035567 |           3.311717 |           0.036881 |     6477247.000000
cached kcf         |           0.400000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.035258 |           4.072641 |           0.036550 |     6429835.000000
cached mosse       |           0.000000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.035206 |           7.123262 |           0.036656 |    11367540.000000
cached kcf         |           0.400000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.035068 |           4.733279 |           0.036303 |     6608607.000000
cached csrt        |           0.000000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.035009 |        1226.869662 |           0.036987 |    17053212.000000
cached medianflow  |           0.400000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034850 |           5.733023 |           0.036134 |     7191067.000000
cached mil         |           0.400000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034833 |          59.345445 |           0.036209 |     7572979.000000
cached mil         |           0.400000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034819 |          54.471541 |           0.036256 |     7841499.000000
cached mil         |           0.000000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034695 |        2456.033887 |           0.036540 |    17355616.000000
cached csrt        |           0.400000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034658 |         161.883852 |           0.036097 |     7314767.000000
cached medianflow  |           0.400000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034523 |           5.420660 |           0.035803 |     7053487.000000
cached mil         |           0.400000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034466 |         150.619122 |           0.035858 |     8350043.000000
cached medianflow  |           0.400000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034340 |           9.903927 |           0.035562 |     7574307.000000
cached kcf         |           0.000000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034172 |          87.017971 |           0.036056 |    12249432.000000
cached medianflow  |           0.000000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.034113 |         171.319221 |           0.035990 |    15815040.000000
cached csrt        |           0.200000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.033684 |         561.047298 |           0.035330 |    12337025.000000
cached mil         |           0.400000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.033441 |         280.840493 |           0.034768 |     7374107.000000
cached mosse       |           0.200000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.033175 |           3.280401 |           0.034258 |     8455565.000000
cached medianflow  |           0.200000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.032978 |          67.874706 |           0.034452 |    11380233.000000
cached medianflow  |           0.400000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.032865 |          19.276724 |           0.034093 |     6932923.000000
cached kcf         |           0.400000 |           0.000000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.032575 |           9.310323 |           0.033753 |     6354267.000000
cached fake        |           0.400000 |           0.200000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.032570 |           2.093264 |           0.033774 |     7881255.000000
cached fake        |           0.200000 |           0.800000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.032324 |           4.764548 |           0.033482 |    13458041.000000
cached fake        |           0.400000 |           0.400000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.032221 |           2.483778 |           0.033390 |     8477423.000000
cached fake        |           0.400000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.031753 |           2.983651 |           0.032866 |     9391979.000000
cached mosse       |           0.400000 |           0.600000 |           0.000000 |           0.000000 |           0.000000 |         100.000000 |           0.031749 |           1.421537 |           0.032775 |     6499099.000000
